x0,top,text,size,fontname
167.4,125.7,t,10.0,BCDFEE+ArialMT
170.0,125.7,H,10.0,BCDFEE+ArialMT
177.2,125.7,u,10.0,BCDFEE+ArialMT
182.6,125.7,b,10.0,BCDFEE+ArialMT
188.2,125.7,",",10.0,BCDFEE+ArialMT
190.8,125.7, ,10.0,BCDFEE+ArialMT
193.4,125.7,G,10.0,BCDFEE+ArialMT
200.9,125.7,o,10.0,BCDFEE+ArialMT
206.2,125.7,o,10.0,BCDFEE+ArialMT
211.5,125.7,g,10.0,BCDFEE+ArialMT
216.9,125.7,l,10.0,BCDFEE+ArialMT
218.8,125.7,e,10.0,BCDFEE+ArialMT
224.1,125.7, ,10.0,BCDFEE+ArialMT
226.6,125.7,C,10.0,BCDFEE+ArialMT
233.6,125.7,o,10.0,BCDFEE+ArialMT
239.0,125.7,l,10.0,BCDFEE+ArialMT
240.9,125.7,a,10.0,BCDFEE+ArialMT
246.2,125.7,b,10.0,BCDFEE+ArialMT
251.6,125.7,",",10.0,BCDFEE+ArialMT
254.1,125.7, ,10.0,BCDFEE+ArialMT
256.7,125.7,V,10.0,BCDFEE+ArialMT
263.1,125.7,S,10.0,BCDFEE+ArialMT
269.5,125.7, ,10.0,BCDFEE+ArialMT
272.0,125.7,C,10.0,BCDFEE+ArialMT
278.9,125.7,o,10.0,BCDFEE+ArialMT
284.3,125.7,d,10.0,BCDFEE+ArialMT
289.6,125.7,e,10.0,BCDFEE+ArialMT
294.9,125.7,",",10.0,BCDFEE+ArialMT
297.4,125.7, ,10.0,BCDFEE+ArialMT
299.9,125.7,M,10.0,BCDFEE+ArialMT
308.1,125.7,S,10.0,BCDFEE+ArialMT
314.5,125.7, ,10.0,BCDFEE+ArialMT
317.1,125.7,E,10.0,BCDFEE+ArialMT
323.5,125.7,x,10.0,BCDFEE+ArialMT
328.3,125.7,c,10.0,BCDFEE+ArialMT
333.1,125.7,e,10.0,BCDFEE+ArialMT
338.4,125.7,l,10.0,BCDFEE+ArialMT
340.3,125.7,",",10.0,BCDFEE+ArialMT
342.8,125.7, ,10.0,BCDFEE+ArialMT
345.3,125.7,M,10.0,BCDFEE+ArialMT
353.4,125.7,S,10.0,BCDFEE+ArialMT
359.7,125.7, ,10.0,BCDFEE+ArialMT
362.4,125.7,W,10.0,BCDFEE+ArialMT
371.5,125.7,o,10.0,BCDFEE+ArialMT
376.9,125.7,r,10.0,BCDFEE+ArialMT
380.0,125.7,d,10.0,BCDFEE+ArialMT
385.3,125.7,",",10.0,BCDFEE+ArialMT
387.8,125.7, ,10.0,BCDFEE+ArialMT
390.3,125.7,M,10.0,BCDFEE+ArialMT
398.4,125.7,S,10.0,BCDFEE+ArialMT
404.7,125.7, ,10.0,BCDFEE+ArialMT
